Invoice ID,City,Product line,Unit price,Quantity,Date,Payment,Rating,year,month,day_of_week,profit,revenue,profit_margin
381-20-0914,Yangon,Fashion accessories,20.01,9,2019-01-12,Credit card,5.7,2019,1,Saturday,180.09,179.09,1.0055837846892623
829-49-1914,Naypyitaw,Food and beverages,78.31,10,2019-03-05,Ewallet,6.6,2019,3,Tuesday,783.1,782.1,1.0012786088735455
756-01-7507,Naypyitaw,Health and beauty,20.38,5,2019-01-22,Cash,6.0,2019,1,Tuesday,101.89999999999999,100.89999999999999,1.0099108027750248
870-72-4431,Naypyitaw,Health and beauty,99.19,6,2019-01-21,Credit card,5.5,2019,1,Monday,595.14,594.14,1.0016831049920893
847-38-7188,Mandalay,Food and beverages,96.68,3,2019-01-26,Ewallet,6.4,2019,1,Saturday,290.04,289.04,1.0034597287572655
480-63-2856,Naypyitaw,Food and beverages,19.25,8,2019-01-23,Ewallet,6.6,2019,1,Wednesday,154.0,153.0,1.0065359477124183
787-56-0757,Naypyitaw,Food and beverages,80.36,4,2019-02-23,Credit card,8.3,2019,2,Saturday,321.44,320.44,1.0031207090250904
360-39-5055,Naypyitaw,Sports and travel,48.91,5,2019-03-09,Cash,6.6,2019,3,Saturday,244.54999999999998,243.54999999999998,1.0041059330732909
730-50-9884,Naypyitaw,Sports and travel,83.06,7,2019-03-05,Ewallet,4.0,2019,3,Tuesday,581.4200000000001,580.4200000000001,1.0017228903208022
362-58-8315,Naypyitaw,Fashion accessories,76.52,5,2019-03-25,Cash,9.9,2019,3,Monday,382.59999999999997,381.59999999999997,1.0026205450733752
633-44-8566,Yangon,Food and beverages,49.38,7,2019-03-27,Credit card,7.3,2019,3,Wednesday,345.66,344.66,1.0029014100853015
504-35-8843,Yangon,Sports and travel,42.47,1,2019-01-02,Cash,5.7,2019,1,Wednesday,42.47,41.47,1.0241138172172655
318-68-5053,Mandalay,Health and beauty,76.99,6,2019-02-27,Cash,6.1,2019,2,Wednesday,461.93999999999994,460.93999999999994,1.002169479758754
565-80-5980,Naypyitaw,Home and lifestyle,47.38,4,2019-01-23,Cash,7.1,2019,1,Wednesday,189.52,188.52,1.00530447697857
225-32-0908,Naypyitaw,Sports and travel,44.86,10,2019-01-26,Ewallet,8.2,2019,1,Saturday,448.6,447.6,1.0022341376228776
873-51-0671,Yangon,Sports and travel,21.98,7,2019-01-10,Ewallet,5.1,2019,1,Thursday,153.86,152.86,1.00654193379563
152-08-9985,Mandalay,Health and beauty,64.36,9,2019-03-12,Credit card,8.6,2019,3,Tuesday,579.24,578.24,1.0017293857221914
512-91-0811,Naypyitaw,Health and beauty,89.75,1,2019-02-06,Credit card,6.6,2019,2,Wednesday,89.75,88.75,1.0112676056338028
594-34-4444,Yangon,Electronic accessories,97.16,1,2019-03-08,Ewallet,7.2,2019,3,Friday,97.16,96.16,1.0103993344425957
766-85-7061,Mandalay,Health and beauty,87.87,10,2019-03-29,Ewallet,5.1,2019,3,Friday,878.7,877.7,1.0011393414606358
871-39-9221,Naypyitaw,Electronic accessories,12.45,6,2019-02-09,Cash,4.1,2019,2,Saturday,74.69999999999999,73.69999999999999,1.0135685210312075
865-92-6136,Yangon,Food and beverages,52.75,3,2019-03-23,Ewallet,9.3,2019,3,Saturday,158.25,157.25,1.0063593004769475
733-01-9107,Mandalay,Home and lifestyle,82.7,6,2019-03-05,Cash,7.4,2019,3,Tuesday,496.20000000000005,495.20000000000005,1.0020193861066236
163-56-7055,Naypyitaw,Fashion accessories,48.71,1,2019-03-26,Cash,4.1,2019,3,Tuesday,48.71,47.71,1.0209599664640536
189-98-2939,Naypyitaw,Fashion accessories,78.55,9,2019-03-01,Cash,7.2,2019,3,Friday,706.9499999999999,705.9499999999999,1.0014165309157872
551-21-3069,Naypyitaw,Electronic accessories,23.07,9,2019-02-01,Cash,4.9,2019,2,Friday,207.63,206.63,1.0048395683105067
212-62-1842,Yangon,Food and beverages,58.26,6,2019-03-28,Cash,9.9,2019,3,Thursday,349.56,348.56,1.0028689465228369
716-39-1409,Mandalay,Health and beauty,30.35,7,2019-03-19,Cash,8.0,2019,3,Tuesday,212.45000000000002,211.45000000000002,1.0047292504138094
704-48-3927,Yangon,Electronic accessories,88.67,10,2019-01-12,Ewallet,7.3,2019,1,Saturday,886.7,885.7,1.001129050468556
628-34-3388,Naypyitaw,Fashion accessories,27.38,6,2019-01-05,Credit card,7.9,2019,1,Saturday,164.28,163.28,1.006124448799608
630-74-5166,Yangon,Sports and travel,62.13,6,2019-03-22,Cash,7.4,2019,3,Friday,372.78000000000003,371.78000000000003,1.0026897627629243
588-01-7461,Naypyitaw,Food and beverages,33.98,9,2019-03-24,Cash,4.2,2019,3,Sunday,305.82,304.82,1.0032806246309298
861-77-0145,Naypyitaw,Electronic accessories,81.97,10,2019-03-03,Cash,9.2,2019,3,Sunday,819.7,818.7,1.0012214486380848
479-26-8945,Mandalay,Sports and travel,16.49,2,2019-02-05,Ewallet,4.6,2019,2,Tuesday,32.98,31.979999999999997,1.0312695434646655
210-67-5886,Naypyitaw,Health and beauty,98.21,3,2019-02-05,Credit card,7.8,2019,2,Tuesday,294.63,293.63,1.0034056465619998
227-78-1148,Mandalay,Fashion accessories,72.84,7,2019-02-15,Cash,8.4,2019,2,Friday,509.88,508.88,1.0019650998270713
645-44-1170,Yangon,Home and lifestyle,58.07,9,2019-01-19,Ewallet,4.3,2019,1,Saturday,522.63,521.63,1.0019170676533176
237-01-6122,Naypyitaw,Home and lifestyle,80.79,9,2019-02-01,Credit card,9.5,2019,2,Friday,727.11,726.11,1.00137720180138
225-98-1496,Naypyitaw,Fashion accessories,27.02,3,2019-03-02,Credit card,7.1,2019,3,Saturday,81.06,80.06,1.0124906320259806
291-32-1427,Mandalay,Fashion accessories,21.94,5,2019-03-05,Ewallet,5.3,2019,3,Tuesday,109.7,108.7,1.0091996320147194
659-65-8956,Mandalay,Fashion accessories,51.36,1,2019-01-16,Ewallet,5.2,2019,1,Wednesday,51.36,50.36,1.0198570293884035
642-32-2990,Yangon,Food and beverages,10.96,10,2019-02-02,Ewallet,6.0,2019,2,Saturday,109.60000000000001,108.60000000000001,1.0092081031307552
378-24-2715,Mandalay,Home and lifestyle,53.44,2,2019-01-20,Ewallet,4.1,2019,1,Sunday,106.88,105.88,1.0094446543256517
638-60-7125,Yangon,Electronic accessories,99.56,8,2019-02-14,Credit card,5.2,2019,2,Thursday,796.48,795.48,1.0012571026298587
659-36-1684,Naypyitaw,Sports and travel,57.12,7,2019-01-12,Credit card,6.5,2019,1,Saturday,399.84,398.84,1.0025072710861498
219-22-9386,Mandalay,Sports and travel,99.96,9,2019-03-09,Credit card,4.2,2019,3,Saturday,899.64,898.64,1.0011127926644707
336-78-2147,Naypyitaw,Home and lifestyle,63.91,8,2019-03-13,Credit card,4.6,2019,3,Wednesday,511.28,510.28,1.0019597083953908
268-27-6179,Mandalay,Fashion accessories,56.47,8,2019-03-09,Ewallet,7.3,2019,3,Saturday,451.76,450.76,1.0022184754636614
668-90-8900,Yangon,Home and lifestyle,93.69,7,2019-03-10,Credit card,4.5,2019,3,Sunday,655.8299999999999,654.8299999999999,1.0015271139074264
870-54-3162,Yangon,Sports and travel,32.25,5,2019-01-27,Cash,9.0,2019,1,Sunday,161.25,160.25,1.0062402496099845
189-08-9157,Naypyitaw,Fashion accessories,31.73,9,2019-01-08,Credit card,5.9,2019,1,Tuesday,285.57,284.57,1.0035140738658326
663-86-9076,Naypyitaw,Food and beverages,68.54,8,2019-01-08,Ewallet,8.5,2019,1,Tuesday,548.32,547.32,1.0018270847036468
549-84-7482,Mandalay,Sports and travel,90.28,9,2019-02-08,Ewallet,7.2,2019,2,Friday,812.52,811.52,1.0012322555205047
191-10-6171,Mandalay,Fashion accessories,39.62,7,2019-01-25,Cash,7.5,2019,1,Friday,277.34,276.34,1.0036187305493234
802-70-5316,Yangon,Sports and travel,92.13,6,2019-03-06,Cash,8.3,2019,3,Wednesday,552.78,551.78,1.001812316502954
695-51-0018,Mandalay,Sports and travel,34.84,4,2019-02-10,Cash,7.4,2019,2,Sunday,139.36,138.36,1.0072275224053195
590-83-4591,Mandalay,Electronic accessories,87.45,6,2019-02-17,Credit card,8.8,2019,2,Sunday,524.7,523.7,1.0019094901661256
483-71-1164,Naypyitaw,Health and beauty,81.3,6,2019-03-08,Ewallet,5.3,2019,3,Friday,487.79999999999995,486.79999999999995,1.0020542317173378
597-78-7908,Naypyitaw,Fashion accessories,90.22,3,2019-02-18,Cash,6.2,2019,2,Monday,270.65999999999997,269.65999999999997,1.0037083735073797
700-81-1757,Yangon,Electronic accessories,26.31,5,2019-01-18,Credit card,8.8,2019,1,Friday,131.54999999999998,130.54999999999998,1.0076599004212945
354-39-5160,Yangon,Home and lifestyle,34.42,6,2019-02-18,Cash,9.8,2019,2,Monday,206.52,205.52,1.004865706500584
241-72-9525,Mandalay,Sports and travel,51.91,10,2019-02-16,Cash,8.2,2019,2,Saturday,519.0999999999999,518.0999999999999,1.0019301293186644
575-30-8091,Yangon,Sports and travel,72.5,8,2019-03-16,Ewallet,9.2,2019,3,Saturday,580.0,579.0,1.001727115716753
731-81-9469,Naypyitaw,Sports and travel,89.8,10,2019-01-23,Credit card,5.4,2019,1,Wednesday,898.0,897.0,1.0011148272017838
280-17-4359,Naypyitaw,Health and beauty,90.5,10,2019-01-25,Cash,8.1,2019,1,Friday,905.0,904.0,1.0011061946902655
338-65-2210,Naypyitaw,Health and beauty,68.6,10,2019-02-05,Cash,9.1,2019,2,Tuesday,686.0,685.0,1.0014598540145985
488-25-4221,Naypyitaw,Food and beverages,30.41,1,2019-02-22,Credit card,8.4,2019,2,Friday,30.41,29.41,1.0340020401224073
239-10-7476,Yangon,Home and lifestyle,77.95,6,2019-01-21,Ewallet,8.0,2019,1,Monday,467.70000000000005,466.70000000000005,1.0021427040925648
458-41-1477,Naypyitaw,Health and beauty,46.26,6,2019-03-08,Credit card,9.5,2019,3,Friday,277.56,276.56,1.0036158518947065
685-64-1609,Yangon,Fashion accessories,30.14,10,2019-02-10,Ewallet,9.2,2019,2,Sunday,301.4,300.4,1.003328894806924
568-90-5112,Naypyitaw,Health and beauty,66.14,4,2019-03-19,Credit card,5.6,2019,3,Tuesday,264.56,263.56,1.0037942024586433
262-47-2794,Mandalay,Home and lifestyle,71.86,8,2019-03-06,Credit card,6.2,2019,3,Wednesday,574.88,573.88,1.0017425245695963
238-49-0436,Yangon,Health and beauty,32.46,8,2019-03-27,Credit card,4.9,2019,3,Wednesday,259.68,258.68,1.003865780114427
608-96-3517,Mandalay,Fashion accessories,91.54,4,2019-03-23,Credit card,4.8,2019,3,Saturday,366.16,365.16,1.002738525577829
584-86-7256,Naypyitaw,Sports and travel,34.56,7,2019-03-11,Credit card,7.3,2019,3,Monday,241.92000000000002,240.92000000000002,1.0041507554374896
746-94-0204,Yangon,Fashion accessories,83.24,9,2019-01-29,Credit card,7.4,2019,1,Tuesday,749.16,748.16,1.001336612489307
214-17-6927,Naypyitaw,Food and beverages,16.48,6,2019-02-07,Ewallet,9.9,2019,2,Thursday,98.88,97.88,1.010216591744994
400-89-4171,Naypyitaw,Sports and travel,80.97,8,2019-01-28,Cash,9.3,2019,1,Monday,647.76,646.76,1.0015461685942235
782-95-9291,Yangon,Food and beverages,92.29,5,2019-02-20,Credit card,9.0,2019,2,Wednesday,461.45000000000005,460.45000000000005,1.0021717884678032
279-74-2924,Mandalay,Electronic accessories,72.17,1,2019-01-04,Cash,6.1,2019,1,Friday,72.17,71.17,1.0140508641281438
307-85-2293,Mandalay,Home and lifestyle,50.28,5,2019-03-07,Ewallet,9.7,2019,3,Thursday,251.4,250.4,1.0039936102236422
743-04-1105,Mandalay,Health and beauty,97.22,9,2019-03-30,Ewallet,6.0,2019,3,Saturday,874.98,873.98,1.0011441909425844
423-57-2993,Mandalay,Sports and travel,93.39,6,2019-03-27,Ewallet,10.0,2019,3,Wednesday,560.34,559.34,1.0017878213608897
894-41-5205,Naypyitaw,Food and beverages,43.18,8,2019-01-19,Credit card,8.3,2019,1,Saturday,345.44,344.44,1.0029032632679131
275-28-0149,Yangon,Sports and travel,63.69,1,2019-02-25,Cash,6.0,2019,2,Monday,63.69,62.69,1.015951507417451
101-17-6199,Yangon,Food and beverages,45.79,7,2019-03-13,Credit card,7.0,2019,3,Wednesday,320.53,319.53,1.003129596594999
423-80-0988,Naypyitaw,Sports and travel,76.4,2,2019-01-30,Ewallet,6.5,2019,1,Wednesday,152.8,151.8,1.0065876152832676
548-46-9322,Mandalay,Food and beverages,39.9,10,2019-02-20,Credit card,5.9,2019,2,Wednesday,399.0,398.0,1.0025125628140703
505-02-0892,Mandalay,Health and beauty,42.57,8,2019-02-25,Ewallet,5.6,2019,2,Monday,340.56,339.56,1.0029449876310519
234-65-2137,Naypyitaw,Home and lifestyle,95.58,10,2019-01-16,Cash,4.8,2019,1,Wednesday,955.8,954.8,1.0010473397570172
687-47-8271,Yangon,Fashion accessories,98.98,10,2019-02-08,Credit card,8.7,2019,2,Friday,989.8000000000001,988.8000000000001,1.0010113268608414
796-32-9050,Yangon,Food and beverages,51.28,6,2019-01-19,Cash,6.5,2019,1,Saturday,307.68,306.68,1.0032607277944436
105-31-1824,Yangon,Sports and travel,69.52,7,2019-02-01,Credit card,8.5,2019,2,Friday,486.64,485.64,1.0020591384564699
249-42-3782,Yangon,Health and beauty,70.01,5,2019-01-03,Ewallet,5.5,2019,1,Thursday,350.05,349.05,1.0028649190660364
316-55-4634,Mandalay,Food and beverages,80.05,5,2019-01-26,Credit card,9.4,2019,1,Saturday,400.25,399.25,1.002504696305573
733-33-4967,Naypyitaw,Electronic accessories,20.85,8,2019-03-03,Cash,6.3,2019,3,Sunday,166.8,165.8,1.006031363088058
608-27-6295,Mandalay,Electronic accessories,52.89,6,2019-01-19,Credit card,9.8,2019,1,Saturday,317.34000000000003,316.34000000000003,1.0031611557185307
414-12-7047,Mandalay,Food and beverages,19.79,8,2019-01-18,Ewallet,8.7,2019,1,Friday,158.32,157.32,1.0063564708873634
827-26-2100,Yangon,Home and lifestyle,33.84,9,2019-03-21,Ewallet,8.8,2019,3,Thursday,304.56000000000006,303.56000000000006,1.0032942416655686
175-54-2529,Yangon,Food and beverages,22.17,8,2019-03-03,Credit card,9.6,2019,3,Sunday,177.36,176.36,1.0056702200045362
139-52-2867,Naypyitaw,Fashion accessories,22.51,7,2019-02-13,Credit card,4.8,2019,2,Wednesday,157.57000000000002,156.57000000000002,1.0063869195886823
407-63-8975,Yangon,Food and beverages,73.88,6,2019-03-23,Ewallet,4.4,2019,3,Saturday,443.28,442.28,1.0022610111241748
342-65-4817,Naypyitaw,Health and beauty,86.8,3,2019-01-28,Ewallet,9.9,2019,1,Monday,260.4,259.4,1.0038550501156516
130-98-8941,Naypyitaw,Fashion accessories,64.26,7,2019-02-09,Cash,5.7,2019,2,Saturday,449.82000000000005,448.82000000000005,1.002228064702999
434-83-9547,Naypyitaw,Food and beverages,38.47,8,2019-01-23,Cash,7.7,2019,1,Wednesday,307.76,306.76,1.0032598774286088
851-28-6367,Yangon,Sports and travel,15.5,10,2019-03-23,Ewallet,8.0,2019,3,Saturday,155.0,154.0,1.0064935064935066
824-88-3614,Naypyitaw,Health and beauty,34.31,8,2019-01-25,Ewallet,5.7,2019,1,Friday,274.48,273.48,1.0036565745209887
586-25-0848,Yangon,Sports and travel,12.34,7,2019-03-04,Credit card,6.7,2019,3,Monday,86.38,85.38,1.0117123448114314
895-66-0685,Mandalay,Food and beverages,18.08,3,2019-03-05,Ewallet,8.0,2019,3,Tuesday,54.239999999999995,53.239999999999995,1.0187828700225394
305-14-0245,Mandalay,Home and lifestyle,94.49,8,2019-03-03,Ewallet,7.5,2019,3,Sunday,755.92,754.92,1.0013246436708525
732-04-5373,Mandalay,Home and lifestyle,46.47,4,2019-02-08,Cash,7.0,2019,2,Friday,185.88,184.88,1.0054089138900908
400-60-7251,Yangon,Home and lifestyle,74.07,1,2019-02-10,Ewallet,9.9,2019,2,Sunday,74.07,73.07,1.0136855070480362
593-65-1552,Naypyitaw,Home and lifestyle,69.81,4,2019-01-28,Credit card,5.9,2019,1,Monday,279.24,278.24,1.0035940195514663
284-34-9626,Mandalay,Home and lifestyle,77.04,3,2019-02-11,Credit card,7.2,2019,2,Monday,231.12,230.12,1.0043455588388668
437-58-8131,Mandalay,Fashion accessories,73.52,2,2019-01-15,Ewallet,4.6,2019,1,Tuesday,147.04,146.04,1.0068474390577924
286-43-6208,Naypyitaw,Food and beverages,87.8,9,2019-03-16,Cash,9.2,2019,3,Saturday,790.1999999999999,789.1999999999999,1.0012671059300557
641-43-2399,Mandalay,Home and lifestyle,25.55,4,2019-01-26,Ewallet,5.7,2019,1,Saturday,102.2,101.2,1.0098814229249011
831-07-6050,Yangon,Electronic accessories,32.71,5,2019-03-19,Credit card,9.9,2019,3,Tuesday,163.55,162.55,1.0061519532451553
556-86-3144,Naypyitaw,Fashion accessories,74.29,1,2019-01-13,Cash,5.0,2019,1,Sunday,74.29,73.29,1.013644426251876
848-24-9445,Naypyitaw,Health and beauty,43.7,2,2019-03-26,Cash,4.9,2019,3,Tuesday,87.4,86.4,1.0115740740740742
856-22-8149,Yangon,Home and lifestyle,25.29,1,2019-03-23,Ewallet,6.1,2019,3,Saturday,25.29,24.29,1.041169205434335
699-01-4164,Naypyitaw,Health and beauty,41.5,4,2019-03-12,Credit card,8.2,2019,3,Tuesday,166.0,165.0,1.006060606060606
420-11-4919,Naypyitaw,Food and beverages,71.39,5,2019-02-17,Credit card,5.5,2019,2,Sunday,356.95,355.95,1.0028093833403569
606-80-4905,Naypyitaw,Sports and travel,19.15,6,2019-01-29,Credit card,6.8,2019,1,Tuesday,114.89999999999999,113.89999999999999,1.0087796312554873
542-41-0513,Mandalay,Electronic accessories,57.49,4,2019-03-15,Cash,6.6,2019,3,Friday,229.96,228.96,1.004367575122292
426-39-2418,Naypyitaw,Electronic accessories,61.41,7,2019-01-14,Cash,9.8,2019,1,Monday,429.87,428.87,1.0023317089094597
875-46-5808,Mandalay,Health and beauty,25.9,10,2019-02-06,Ewallet,8.7,2019,2,Wednesday,259.0,258.0,1.003875968992248
